,point_A,point_B,haversine_dist,driving-car_dist,driving-car_time,foot-walking_dist,foot-walking_time,cycling-regular_dist,cycling-regular_time
11048,"[24.947257130901725, 60.25651124696916]","[25.04751309614306, 60.27673275766642]",5.968719877489317,9126.5,1070.2,7087.5,5102.9,7431.1,1551.3
11049,"[24.852166958331654, 60.25503760170596]","[24.885816446109764, 60.15760917766399]",10.991912580966634,18869.0,1921.1,13948.8,10043.0,14547.8,2914.2
11050,"[25.04542781176564, 60.22676809741065]","[24.947817636580066, 60.2158784878951]",5.524852722635755,7215.9,1432.5,7046.4,5073.3,7252.9,1604.8
11051,"[25.039144347513872, 60.270453887561565]","[24.947925684301108, 60.20408660392994]",8.933773768550104,15317.6,1389.1,9958.2,7169.8,10201.8,2080.8
11052,"[25.048952213033854, 60.15497786675622]","[24.906218022315112, 60.20522610561508]",9.66998498021587,,,13446.8,9681.5,13990.7,2860.5
11053,"[25.072594028578983, 60.2445895777372]","[25.149295677925853, 60.20372037329256]",6.212194328937615,8331.7,1183.4,7450.0,5363.9,8695.2,1758.4
11054,"[24.95771018075397, 60.18959776618825]","[24.957687774359314, 60.201858892841486]",1.3633756411903388,2138.9,388.9,1965.2,1414.9,2244.7,478.5
11055,"[24.890784873615527, 60.21503223056629]","[25.067295931212755, 60.23856780103152]",10.091449700066303,12862.6,1604.9,12085.3,8701.2,12925.7,2587.3
11056,"[24.9662369414354, 60.218745192040224]","[25.05189373726749, 60.205741124360365]",4.947724306691698,11483.6,1246.7,6425.8,4626.5,6673.7,1564.9
11057,"[25.079213194719017, 60.245651655887535]","[25.062726748097088, 60.16356639930578]",9.172807166460602,12691.1,1590.0,11140.3,8020.8,11220.3,2326.1
11058,"[24.918063090315552, 60.20959650442482]","[24.87097993913629, 60.157895790012695]",6.31076406307505,10404.7,1455.5,8578.9,6176.7,9202.2,1857.6
11059,"[24.91358716086306, 60.19532084870568]","[24.90592976858844, 60.21424449161466]",2.1463272518211145,3972.6,676.7,2487.8,1791.2,2560.4,594.8
11060,"[24.953139053293768, 60.18589497652575]","[24.931441538585997, 60.2266705237521]",4.689837562862542,5929.7,882.7,5459.3,3930.6,5607.1,1124.0
11061,"[24.95646651639382, 60.21378926936176]","[24.88145645292729, 60.206604048306666]",4.220161053891933,4859.9,706.2,4860.9,3499.8,4945.5,1006.4
11062,"[24.95638220310234, 60.17234993657934]","[25.121875892811783, 60.22033137680772]",10.58873112929228,12580.5,1435.6,12710.8,9151.6,13657.4,2822.2
11063,"[25.17351301973882, 60.1980830834728]","[24.96400703497208, 60.18325461281445]",11.697584783585006,15348.3,1915.2,14393.6,10363.1,14680.3,3027.3
11064,"[25.13220031521399, 60.2016364644316]","[24.920401300118005, 60.20546992516012]",11.710709732248548,15411.0,1919.8,14728.9,10604.6,15171.9,3045.4
11065,"[25.082143946322784, 60.22291651669967]","[24.89814392268348, 60.22831082473092]",10.177771243951224,12934.9,1342.6,12377.8,8911.8,13358.2,2683.9
11066,"[24.95475487801573, 60.18670949235724]","[24.868563769180927, 60.21668294284501]",5.813093838887699,7747.1,1139.8,6860.2,4939.2,7674.4,1607.2
11067,"[24.837413467568563, 60.24044221288212]","[25.093246665281512, 60.20911760127967]",14.549973056766648,17715.3,1781.8,17516.0,12611.3,18090.9,3628.4
11068,"[24.94413729476728, 60.21382520971491]","[24.938799301277747, 60.24714485421452]",3.7166780982690995,6593.2,738.2,4281.2,3082.4,4315.7,880.8
11069,"[25.12959627454934, 60.21377635045726]","[25.04903674830465, 60.14829427121287]",8.5357111576988,,,12084.7,8700.8,12807.4,2674.0
11070,"[24.94461619896296, 60.22531647552155]","[25.05850573421097, 60.22121127810701]",6.305728453763125,11696.7,1232.6,7860.2,5659.2,8504.2,1725.2
